	 ~	@	L	R	A	,	O	V	P	N	$	U	E	#	D	Z	^	&	S	T	!	X	G	Y	
~	47879	2	2	0	0	802	0	52	11	6	0	1	64	2	6	0	6	0	0	0	6	0	160	2	
@	3591	29959	1422	21	22	29	134	64	39	207	456	300	2286	204	422	99	505	102	91	152	1600	328	315	747	
L	13	2	9291	0	1	0	7	2	0	4	1	3	6	0	123	5	4	10	3	6	13	5	14	26	
R	25	16	46	29070	598	5	33	57	221	263	22	10	60	4	126	18	34	36	20	285	76	26	26	21	
A	85	36	43	583	32785	13	29	409	66	368	130	19	185	33	354	83	561	52	440	220	147	94	41	66	
,	568	12	22	0	3	67880	7	9	16	33	3	256	1338	24	14	4	28	34	2	58	23	1	547	11	
O	1	4	30	9	3	2	41169	6	138	11	8	24	37	3	346	0	28	1	1	41	42	9	6	3	
V	210	98	155	156	488	29	38	93783	471	1784	205	52	277	62	266	71	437	206	44	420	159	149	107	402	
P	1	4	6	756	36	11	100	212	56882	65	110	15	21	1	49	4	72	37	6	544	9	0	60	18	
N	189	240	281	162	550	155	151	1616	215	88669	521	362	931	275	403	144	2768	439	832	533	674	106	348	113	
$	63	43	73	15	58	9	25	16	58	267	10607	323	357	70	253	74	251	56	105	84	205	17	165	61	
U	106	65	91	14	18	37	13	10	116	357	311	15973	8805	1222	85	30	336	82	33	559	578	22	805	90	
E	2	6	1	0	0	60	1	1	0	3	6	53	5004	3	0	0	13	4	1	4	17	1	90	3	
#	182	136	104	11	10	16	11	12	25	145	51	548	2704	11557	97	45	394	41	35	59	200	61	286	109	
D	10	3	35	197	1	0	527	0	57	12	7	5	11	1	41238	7	16	8	8	8	75	445	17	1	
Z	36	24	45	5	5	2	11	4	17	18	32	1	7	8	260	765	81	23	70	13	15	13	14	35	
^	499	454	632	104	509	204	301	244	234	2624	993	289	1583	555	1087	395	34439	193	589	441	988	283	850	334	
&	1	1	2	18	0	0	0	0	0	5	1	1	0	0	1	0	16	12010	1	0	3	1	1	1	
S	2	1	0	0	2	0	0	2	4	4	2	0	1	0	13	16	9	5	324	0	0	0	0	1	
T	0	0	0	22	1	0	1	1	153	1	0	1	6	0	0	0	1	1	0	2810	0	0	0	0	
!	69	67	32	47	29	22	15	12	8	53	6	59	120	10	82	15	45	17	3	23	5842	15	36	15	
X	0	0	0	53	0	0	1	0	0	0	0	0	0	0	6	0	0	1	0	0	0	495	0	0	
G	50	26	34	13	14	498	7	33	44	181	31	272	715	89	17	7	244	24	5	35	143	8	4291	40	
Y	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	
